,id,full_text,created_at,favorite_count,retweet_count
0,1449887450676056075,A teacher shouldn’t pay a higher tax rate than a profitable company. It’s time we reward work in this country—not just wealth.,Sun Oct 17 23:58:00 +0000 2021,52753,6301
1,1449830326566625290,"Passing the Build Back Better Agenda is about competitiveness versus complacency.
Opportunity versus decay.  
Leading the world or letting the world pass us by.

When workers and families have a better shot, America has a better shot.",Sun Oct 17 20:11:01 +0000 2021,10230,1778
2,1449764172619730951,"The 21st century Jim Crow assault is real. It's unrelenting, and we're going to challenge it vigorously. https://t.co/jGkrvWB5Ev",Sun Oct 17 15:48:08 +0000 2021,13790,2881
3,1449523302104457217,"It’s time to build an economy that works for working families. An economy where people from every race, background, and religion can get ahead.

Our Build Back Better Agenda will get it done.",Sat Oct 16 23:51:00 +0000 2021,24629,3277
4,1449483543965544453,The voter registration deadline is coming up in several states. Make sure you’re registered to vote at https://t.co/Hy8C4mIL2M and vote for Democrats up and down the ballot to keep America moving forward. https://t.co/c9DiEScQon,Sat Oct 16 21:13:01 +0000 2021,7326,2131
5,1449474551725928455,RT @POTUS: To everyone at today’s National Peace Officers’ Memorial Service: Your loss is our nation’s loss. Your pain is our nation’s pain…,Sat Oct 16 20:37:17 +0000 2021,0,2394
6,1449183311121760259,"With the expanded Child Tax Credit, working families are getting the relief they need thanks to the American Rescue Plan. 

This money is making a difference for countless Americans and lifting millions of kids out of poverty.",Sat Oct 16 01:20:00 +0000 2021,15033,2129
7,1449170733561692160,"Today, another round of payments from the expanded Child Tax Credit will help millions of families across the country with payments of up to $300 per child. 

This is just the first step. Our Build Back Better Agenda will extend this benefit for years to come.",Sat Oct 16 00:30:01 +0000 2021,12051,1828
8,1449161163707588615,The evidence is clear: Vaccination requirements work. https://t.co/aODppNEa7F,Fri Oct 15 23:52:00 +0000 2021,10659,1610
9,1449091208836489218,"More than 1 out of 3 eligible seniors have already received their COVID-19 booster. 

We’re going to continue to provide that protection to seniors and everyone else as we head into the holiday season. Together, we can put this pandemic behind us.",Fri Oct 15 19:14:01 +0000 2021,10011,1284
10,1449012757362315265,A promise I didn’t take lightly. https://t.co/rkmkGRIUVi,Fri Oct 15 14:02:17 +0000 2021,23680,3049
11,1448789464650862594,Our plan to accelerate a path out of this pandemic is working. https://t.co/HodK4Y7glV,Thu Oct 14 23:15:00 +0000 2021,11322,1603
12,1448656090221006862,"Tomorrow, @DrBiden is back on the campaign trail for a grassroots event with @TerryMcAuliffe.

Virginia, you’re not going to find anyone who knows how to get more done than Terry. Let’s keep moving Virginia forward. RSVP now. 
https://t.co/V2t07vgPmp",Thu Oct 14 14:25:01 +0000 2021,6718,1097
13,1448389770313441287,"RT @POTUS: After working closely with my team, the Port of Los Angeles is announcing today that it will begin operating 24 hours 7 days a w…",Wed Oct 13 20:46:45 +0000 2021,0,4219
14,1448039273517797384,"Folks, it’s been a month since I laid out my plan to accelerate the path out of this pandemic. We’ve made real progress, but we still have a long way to go.

There’s no better way to beat this pandemic than to get the vast majority of Americans vaccinated. It’s as simple as that.",Tue Oct 12 21:34:00 +0000 2021,31392,4526
15,1447933833521897476,"Virginia: Last year, the people voted and democracy prevailed. We have to do it again and elect @TerryMcAuliffe as governor.

Today is the last day to register to vote. Head to https://t.co/rqHXR7xuqW and make sure you're registered.",Tue Oct 12 14:35:01 +0000 2021,13368,3095
16,1447350735700742146,"For the first time since March 2020, the unemployment rate is below 5%. We still have more work to do, but recovery is moving forward even in the face of a pandemic.",Sun Oct 10 23:58:00 +0000 2021,39870,4804
17,1447303172427497481,"We have a plan. We have the tools. Let’s finish the job—get vaccinated.
https://t.co/b8jlTuDMTm",Sun Oct 10 20:49:00 +0000 2021,14030,2218
18,1447224907079856129,"An average of 600,000 new jobs have been created every month since we took office. 

Jobs are up, wages are up, and unemployment is down. This progress is attributed to the hard work and resilience of the American people, who are battling through this pandemic.",Sun Oct 10 15:38:00 +0000 2021,20734,3106
19,1446982308314165252,"Let’s set one thing straight: The Bipartisan Infrastructure Deal and the Build Back Better Agenda are not about left versus right.

They’re about leading the world or continuing to let the world pass us by.",Sat Oct 09 23:34:00 +0000 2021,37209,5808
20,1446945570753589254,"Before the American Rescue Plan passed, the Congressional Budget Office projected that it would take until 2023 to get to a 4.8% unemployment rate.

We hit that rate in October of 2021.",Sat Oct 09 21:08:01 +0000 2021,20872,3609
21,1446876864342110210,"Here's the deal. Vaccine requirements are already proving that they work.

More than 185 million Americans are now fully vaccinated and more than 75% of eligible Americans have gotten at least one shot. That’s real progress.",Sat Oct 09 16:35:00 +0000 2021,34790,4291
22,1446634769048121345,"Let’s be clear: Vaccine requirements aren't about politics, they’re about saving lives.
https://t.co/LizrAytwGZ",Sat Oct 09 00:33:00 +0000 2021,22582,3232
23,1446596232877592579,We’re making real progress for the American people. https://t.co/CqNYb5ZFwk,Fri Oct 08 21:59:53 +0000 2021,7617,1197
24,1446559777694289924,"Millions of American parents are feeling the squeeze, having a hard time doing their job, earning a paycheck, while taking care of their children or aging parents. My Build Back Better Agenda will change that.",Fri Oct 08 19:35:01 +0000 2021,24643,3201
25,1446544440823267330,"RT @POTUS: After the last administration chipped away their protections, today I’m proud to announce the protection and expansion of three…",Fri Oct 08 18:34:04 +0000 2021,0,3150
26,1446258288438484994,"When we give working families a break, we're not just raising their quality of life—we're putting parents in a position to earn a paycheck. That's what the Bipartisan Infrastructure Deal and the Build Back Better Agenda are all about.",Thu Oct 07 23:37:00 +0000 2021,21064,3105
27,1446229599290077193,"Teachers and firefighters shouldn’t pay a higher tax rate than millionaires and billionaires.
https://t.co/02tU0LF7p1",Thu Oct 07 21:43:00 +0000 2021,12734,1896
28,1446224128227385346,"RT @WhiteHouse: Vaccination requirements work. They drive up vaccination rates, which makes our communities and schools safer, along with s…",Thu Oct 07 21:21:16 +0000 2021,0,2552
29,1446128938468532231,"The Bipartisan Infrastructure Deal is about rebuilding our roads, our highways, our bridges, our ports, our airports, our broadband. It’s a blue-collar blueprint for rebuilding America.",Thu Oct 07 15:03:01 +0000 2021,17864,2640
30,1445853879401259008,"Our Bipartisan Infrastructure Deal and Build Back Better Agenda are not about left versus right—they’re about competitiveness versus complacency.
https://t.co/H54nLNbzqL",Wed Oct 06 20:50:02 +0000 2021,7950,1228
